#   wl        direct       diffuse (W/m^2/mic)
2.1650    53.6874580     1.7396827
2.1675    53.4329262     1.7292349
2.1700    55.2416191     1.7855093
2.1725    54.9706345     1.7745131
2.1750    52.2453194     1.6844338
2.1775    51.9986305     1.6745993
2.1800    50.4968796     1.6244245
2.1825    50.2500496     1.6142718
2.1850    48.7025261     1.5624397
2.1875    48.4620056     1.5528153
2.1900    51.9876175     1.6637527
2.1925    51.7219124     1.6534435
2.1950    50.2690544     1.6052589
2.1975    50.2733459     1.6032588
2.2000    45.3584366     1.4446031
2.2025    45.3955269     1.4442366
2.2050    48.8993683     1.5540484
2.2075    48.7007713     1.5449533
2.2100    52.2494583     1.6545496
2.2125    50.1249084     1.5844356
2.2150    49.9124985     1.5749017
2.2175    51.4485435     1.6204849
2.2200    51.2414169     1.6111073
2.2225    50.1292648     1.5733598
2.2250    49.9193726     1.5640317
2.2275    50.5382423     1.5806465
2.2300    50.3183556     1.5710278
2.2325    49.0264626     1.5280361
2.2350    48.8237419     1.5190780
2.2375    49.0953178     1.5248970
2.2400    48.8841705     1.5157340
2.2425    47.8401451     1.4808184
2.2450    47.6324921     1.4718839
2.2475    48.0080719     1.4809773
2.2500    47.7978020     1.4719977
2.2525    45.8125839     1.4089139
2.2550    45.6081772     1.4006945
2.2575    44.9792747     1.3794781
2.2600    44.7767410     1.3713775
2.2625    46.2710876     1.4152033
2.2650    46.0608063     1.4068292
2.2675    45.8504944     1.3984940
2.2700    43.5001755     1.3249941
2.2725    43.2996902     1.3170743
2.2750    43.4410095     1.3195661
